"","Name","Score","gene_names"
"ENSG00000242574","ENSG00000242574",0.0399378546773636,"HLA-DMB"
"ENSG00000146555","ENSG00000146555",0.0410856960301324,"SDK1"
"ENSG00000174871","ENSG00000174871",0.0413011780564229,"CNIH2"
"ENSG00000106128","ENSG00000106128",0.042654425531278,"GHRHR"
"ENSG00000261115","ENSG00000261115",0.043053528550208,"TMEM178B"
"ENSG00000164626","ENSG00000164626",0.043455425743331,"KCNK5"
"ENSG00000117322","ENSG00000117322",0.0438601301219062,"CR2"
"ENSG00000167642","ENSG00000167642",0.044159769819719,"SPINT2"
"ENSG00000106123","ENSG00000106123",0.0455072807737373,"EPHB6"
"ENSG00000197629","ENSG00000197629",0.0459262173062863,"MPEG1"
"ENSG00000145103","ENSG00000145103",0.0463480397265377,"ILDR1"
"ENSG00000142583","ENSG00000142583",0.0463480397265377,"SLC2A5"
"ENSG00000152078","ENSG00000152078",0.0467727612573159,"TLCD4"
"ENSG00000155893","ENSG00000155893",0.0467727612573159,"PXYLP1"
"ENSG00000085552","ENSG00000085552",0.0480644531944084,"IGSF9"
"ENSG00000162753","ENSG00000162753",0.0480644531944084,"SLC9C2"
"ENSG00000134460","ENSG00000134460",0.0480644531944084,"IL2RA"
"ENSG00000143473","ENSG00000143473",0.0485009040000089,"KCNH1"
"ENSG00000278023","ENSG00000278023",0.0489403204836117,"RDM1"
"ENSG00000151490","ENSG00000151490",0.0493827160493827,"PTPRO"
"ENSG00000131398","ENSG00000131398",0.0498281041317115,"KCNC3"
"ENSG00000197106","ENSG00000197106",0.0498281041317115,"SLC6A17"
